Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1300.0;976.424615385;12780.741747;1102288.39905;1884.11261943;162.121547056;6656.44258294;437.562544052
2;1300.0;968.160769231;12326.0693362;1135321.42798;1880.42178734;183.156022343;7320.06381379;450.293211633
3;1300.0;995.264615385;11757.1831133;1106336.06127;1733.32224988;168.211138332;6669.06869722;439.0259669
4;1300.0;978.143076923;12567.078631;1152579.65959;1915.11315911;189.660884726;7499.69664088;456.978004585
5;1300.0;965.941538462;11974.0833458;1137901.44187;1790.10719938;178.700281955;7163.65890162;451.519167302
6;1300.0;965.459230769;12818.6503266;1119862.21858;1910.76641538;172.889055796;7012.37393321;444.436487272
7;1300.0;1000.44153846;12025.4369046;1100840.14171;1774.67414565;166.575427585;6679.85909952;436.958132027
8;1300.0;929.973076923;11907.3218314;1089314.50274;1780.151976;167.494799895;6836.76564892;432.406934155
9;1300.0;958.861538462;11674.4064366;1112322.44791;1739.80581391;170.565665633;6946.69176955;441.614513542
10;1300.0;987.008461538;11746.899292;1187667.67761;1793.575102;198.883187611;7825.09047734;471.022334988
11;1300.0;945.433076923;12512.8936921;1199349.44698;1931.51996925;201.817283695;8138.51238006;475.703185938
12;1300.0;962.916923077;12521.2953951;1128526.27863;1851.87852891;170.986407182;7016.11721054;448.027328811
13;1300.0;946.219230769;12036.2212574;1090360.84222;1791.85029136;167.081870878;6738.51804648;432.770384665
14;1300.0;942.618461538;11966.2970725;1094149.91571;1769.70525441;161.105348692;6678.90093436;434.469975165
15;1300.0;934.828461538;13320.3587888;1066711.26237;1935.18090617;149.437493259;6355.9289676;423.752634103
16;1300.0;955.096153846;11625.6541379;1096027.33251;1738.26252605;170.093335475;6796.61264188;434.897189229
17;1300.0;965.117692308;12971.9174388;1170096.72041;1980.72060127;188.612031264;7679.43314994;464.203937795
18;1300.0;983.958461538;13662.2618121;1108079.02424;2020.24426335;164.698706519;6806.37965624;439.882865448
19;1300.0;931.766923077;12390.5087057;1050965.53753;1817.11013935;152.049281395;6299.95226755;417.350536528
20;1300.0;996.12;12148.8967826;1199640.07034;1870.57778274;204.419946554;8050.71347859;475.719867743
21;1300.0;953.424615385;11895.2322869;1113190.62485;1751.62145344;168.892760282;6840.5695313;441.893527351
22;1300.0;938.904615385;11267.2684554;1111182.2505;1685.44084581;173.512363338;6981.76483846;441.038699793
23;1300.0;1001.62461538;13427.8953785;1163844.09889;2020.05441864;184.873892865;7505.5612386;461.720373103
24;1300.0;947.743076923;12489.8136349;1130105.96351;1860.11054416;176.534131246;7179.37798464;448.530891405
25;1300.0;964.424615385;11678.5871232;1136728.83685;1735.02149327;176.216537854;7093.39013097;451.164343007
26;1300.0;955.458461538;12109.3929399;1115625.72675;1815.06489397;175.311166018;7030.86379256;442.650190308
27;1300.0;961.613846154;12374.3199894;1087985.25646;1807.38645437;159.179928037;6494.92763922;431.95211929
28;1300.0;974.532307692;12059.3756858;1116162.76715;1783.7772642;172.433605956;6900.27197051;442.92997088
29;1300.0;959.675384615;11578.7413954;1085523.51691;1716.10288971;161.945472281;6590.29317951;431.002797213
30;1300.0;950.727692308;11702.6303576;1114555.84794;1776.55534718;179.590380443;7097.27053594;442.043170415
31;1300.0;968.716923077;12789.5484833;1127582.74936;1901.44196554;171.980893405;7073.52615858;447.573235107
32;1300.0;944.474615385;11971.913223;1099716.98965;1787.3969513;171.240199434;6863.55175382;436.376331335
33;1300.0;966.443076923;11914.0562252;1107833.85847;1782.51718712;171.912798783;6883.1614106;439.626727338
34;1300.0;907.5;11244.168834;1085229.86899;1661.88036755;164.513542677;6740.83955305;430.931046195
35;1300.0;964.681538462;12174.3464528;1124158.73742;1792.2548697;171.047534753;6957.55142772;446.270174873
36;1300.0;934.205384615;10992.0130809;1087186.56109;1636.72732295;168.422604534;6707.08811534;431.482947571
37;1300.0;916.997692308;12313.6800291;1045556.30964;1816.42351806;151.371516329;6259.4756888;415.178130758
38;1300.0;985.957692308;11569.8603114;1111322.66929;1705.79143257;169.258450948;6772.70124036;441.116206948
39;1300.0;938.595384615;12422.6671534;1123667.72001;1884.27262332;175.406185445;7180.33063571;445.882949262
40;1300.0;944.506153846;12381.6170809;1098318.24011;1842.1403133;163.490694856;6807.36351585;436.132401629
41;1300.0;956.36;11204.7507352;1116814.98058;1679.45748715;174.262255851;6978.21584773;443.239920038
42;1300.0;979.179230769;12789.983777;1123739.53036;1893.98337502;170.397640541;6957.74300598;446.067752172
43;1300.0;948.034615385;11958.0886481;1123165.80809;1803.35059962;178.019657859;7217.86185084;445.741185665
44;1300.0;982.064615385;12678.6937653;1133179.76516;1896.89492972;175.032318406;7101.72362803;449.677984728
45;1300.0;982.823846154;12057.9250136;1163536.97931;1826.62596984;189.353055695;7570.22786976;461.592658669
46;1300.0;973.32;12928.0404222;1112359.17987;1902.82677082;168.62771166;6847.4070929;441.468256271
47;1300.0;962.796153846;12953.1998534;1094484.32536;1912.08217898;165.710187075;6685.45667934;434.34319307
48;1300.0;927.13;11877.8313145;1073578.69094;1781.86543464;163.55616119;6680.13901758;426.133625158
49;1300.0;953.116923077;11702.5091648;1049099.37145;1701.81863265;149.262181859;6095.41469109;416.64424252
50;1300.0;942.324615385;12302.2385305;1113451.97185;1839.05915631;170.116434972;6984.05297347;441.990680748
